13-5726163      Overington,       Gill 22    15.83 $348.26 $327.36
17-8199755       Tschierse,  Simonette 21    14.07 $295.47 $277.74
41-3379927       MacGovern,      Royal 21    58.14 $1,220.94 $1,147.68
69-9839672        Tippings,    Gunther 33    44.94 $1,483.02 $1,394.04
55-5415020          Kurten,     Marris 34    58.71 $1,996.14 $1,876.37
21-0714750       Castaneda,        Fee 22    27.41 $603.02 $566.84
63-2882707         Dolling,     Vasili 25    18.79 $469.75 $441.57
54-6240208       Sparkwell,      Keary 21    58.62 $1,231.02 $1,157.16
15-7529028       Dingsdale,    Katleen 19    44.51 $845.69 $794.95
47-3779943       Pitkethly,    Brittne 24    42.25 $1,014.00 $953.16
70-0909305          Travis,     Kalina 35    44.24 $1,548.40 $1,455.50
50-6674885      Greenhouse,     Dwayne 24    34.32 $823.68 $774.26
31-8343103         Winsper,       Rick 18    16.47 $296.46 $278.67
18-8528265           Btham,    Valerie 39    44.69 $1,742.91 $1,638.34
49-4248167        MacGiany,     Gerrie 28    32.58 $912.24 $857.51
89-8775898           Simco,       Alia 39    26.97 $1,051.83 $988.72
87-8121204       Runnacles,      Nadia 18    43.88 $789.84 $742.45
44-1529953           Griss,     Culver 30    55.16 $1,654.80 $1,555.51
94-4061248          Hamper,     Sharia 15    40.36 $605.40 $569.08
71-8419046         de Vaen,      Cinda 27    53.23 $1,437.21 $1,350.98
22-0428214            Acum,     Hilton 23    51.11 $1,175.53 $1,105.00
46-1249246           Blaza,   Farleigh 29    45.10 $1,307.90 $1,229.43
27-4771743         Huebner,     Adrian 16    51.07 $817.12 $768.09
23-5616121          Ramiro,     Idelle 15    56.23 $843.45 $792.84
17-7338470           Ferri,       Bria 40    19.29 $771.60 $725.30
40-9231976         Cattlow,       Bari 21    19.36 $406.56 $382.17
87-5332576         Fereday,       Eryn 28    32.83 $919.24 $864.09
15-3090301      Purrington,  Nathanial 34    16.18 $550.12 $517.11
35-0181086            Kynd,    Dierdre 28    50.48 $1,413.44 $1,328.63
52-9341334         Galiero,     Devlin 17    51.14 $869.38 $817.22
48-9872350         Peerman,     Waylon 20    14.79 $295.80 $278.05
63-4744021         Lawless,      Manny 33    45.12 $1,488.96 $1,399.62
01-7993098           Brise,    Kristal 35    31.27 $1,094.45 $1,028.78
37-9615047         Clawley,   Chloette 25    48.65 $1,216.25 $1,143.27
08-2542878          Sabben,    Mariska 28    48.69 $1,363.32 $1,281.52
99-0742605       Wildgoose,  Francisca 36    36.51 $1,314.36 $1,235.50
08-8458979          Jaquin,      Mamie 16    10.93 $174.88 $164.39
26-0238202         Tolwood,     Hillie 19    35.45 $673.55 $633.14
85-2589050         Southan,      Avril 33    51.96 $1,714.68 $1,611.80
00-3378317         Mitchel,   Reinwald 27    49.39 $1,333.53 $1,253.52
36-3344934      Billsberry,        Gay 34    50.91 $1,730.94 $1,627.08
41-6680696       Hardistry,       Duff 29    32.40 $939.60 $883.22
67-1053075         Avraham,      Moyna 37    33.42 $1,236.54 $1,162.35
11-1940536       Ivanichev,    Allegra 29    56.78 $1,646.62 $1,547.82
69-5840841        Proschke,      Aurie 17    17.30 $294.10 $276.45
89-1070215        Hargrove,       John 33    18.27 $602.91 $566.74
07-9475240          Favell,    Pascale 18    16.27 $292.86 $275.29
38-4304490          Carvil,   Kathleen 26    59.64 $1,550.64 $1,457.60
78-5929168          Halden,       Rudd 19    32.00 $608.00 $571.52
90-8293438        Kornalik,    Gunilla 40    19.76 $790.40 $742.98
32-7213777      Willbourne,      Ollie 23    13.38 $307.74 $289.28
98-2314146          Kivell,     Manolo 26    40.47 $1,052.22 $989.09
30-3965800          Sermin,     Emmery 20    42.72 $854.40 $803.14
22-1241085          Mattia,     Chelsy 23    52.02 $1,196.46 $1,124.67
85-4059084          Edkins,   Henrieta 36    10.63 $382.68 $359.72
18-0960084       Truesdale,      Cleve 37    54.71 $2,024.27 $1,902.81
45-0487814      Phizacklea,    Zebulon 29    51.15 $1,483.35 $1,394.35
41-4430328          Vassie,     Willis 31    19.93 $617.83 $580.76
58-1787322        Jozwicki,   Jillayne 27    57.34 $1,548.18 $1,455.29
95-5556772          Brydie,     Giulia 36    39.02 $1,404.72 $1,320.44
24-9276370          McCart,       Orel 40    48.53 $1,941.20 $1,824.73
15-9464625        Plampeyn,        Ken 37    11.77 $435.49 $409.36
11-0987272            Lott,     Ilyssa 22    21.18 $465.96 $438.00
94-3890216       Mawhinney,     Velvet 37    28.96 $1,071.52 $1,007.23
75-4030532          Putton,    Aundrea 34    54.72 $1,860.48 $1,748.85
05-1119176         Bellany,      Erica 18    38.32 $689.76 $648.37
68-1218171          Preble,   Ebeneser 25    31.90 $797.50 $749.65
72-9105917           Hares,     Arlene 24    36.58 $877.92 $825.24
76-9885380           Hebbs,     Catlin 26    32.57 $846.82 $796.01
45-5985290          Duffit,   Valdemar 29    54.80 $1,589.20 $1,493.85
30-1690274          Basile,     Pearce 19    49.54 $941.26 $884.78
48-4177294           Dilke,      Tommy 35    47.08 $1,647.80 $1,548.93
57-1533476          Childs,       Avie 37    28.23 $1,044.51 $981.84
10-0321410         Cheetam,     Leslie 39    45.40 $1,770.60 $1,664.36
27-4611896       Fleischer,     Danika 18    30.94 $556.92 $523.50
93-7594120         Keatley,      Rahal 22    19.82 $436.04 $409.88
35-7618206         Balston,       Shep 40    11.62 $464.80 $436.91
38-3921721         Wittman,       Cloe 32    19.30 $617.60 $580.54
89-4652806            Cure,      Luisa 38    15.27 $580.26 $545.44
05-1506824          Tomala,   Dorothea 22    35.82 $788.04 $740.76
75-2767842       O'Mannion,        Ola 20    48.44 $968.80 $910.67
94-2594033    De Francisci,       Haze 39    30.40 $1,185.60 $1,114.46
23-4581607          Dincey,    Lilllie 33    59.92 $1,977.36 $1,858.72
20-9156130          Muncer,    Sansone 24    41.92 $1,006.08 $945.72
24-4024104          Fevers,  Jacquette 31    38.22 $1,184.82 $1,113.73
13-6652118          Hanton,     Alejoa 36    45.66 $1,643.76 $1,545.13
98-7924308        Maxstead,    Monique 28    30.78 $861.84 $810.13
54-3627215       Clementet,     Leisha 23    52.27 $1,202.21 $1,130.08
50-9345777          Letson,       Geno 34    43.73 $1,486.82 $1,397.61
27-0230005        Britland,     Randie 26    22.21 $577.46 $542.81
98-2119514        Blaschek,       Otha 32    56.15 $1,796.80 $1,688.99
00-0233873          Mounch,      Karel 29    44.78 $1,298.62 $1,220.70
66-2302173       Le Claire, Martguerita 31    43.41 $1,345.71 $1,264.97
81-5894229         Sommers,    Abagail 17    50.34 $855.78 $804.43
51-9368122          Pexton,    Gabrila 17    44.80 $761.60 $715.90
13-0322679         McTerry,      Jamie 21    18.53 $389.13 $365.78
19-2087739           Lonie,   Charmion 26    14.83 $385.58 $362.45
98-7180892        Linguard,     Ulrick 33    16.50 $544.50 $511.83
56-5880176            Boud,  Fanchette 21    42.96 $902.16 $848.03
67-0844717     Giovannilli,    Scottie 31    46.54 $1,442.74 $1,356.18
02-9974214             Oxe,      Noell 32    27.20 $870.40 $818.18
14-9167364         Lavalde,    Andreas 34    39.51 $1,343.34 $1,262.74
36-0852324         Marzele,      Dewie 15    31.02 $465.30 $437.38
10-4803867      Fiorentino,  Marcellus 26    29.06 $755.56 $710.23
02-9146567         Gerling,      Greer 36    35.91 $1,292.76 $1,215.19
50-0516485         MacGoun,     Tammie 26    10.07 $261.82 $246.11
69-4091174         Barbosa,     Winnie 37    58.56 $2,166.72 $2,036.72
15-5281894           Jewer,      Taite 25    35.47 $886.75 $833.55
92-6183860        Scarlett,      Sophi 29    34.41 $997.89 $938.02
07-0750615       Narramore,   Ortensia 24    12.27 $294.48 $276.81
55-8395257        Neachell,       Bill 38    26.56 $1,009.28 $948.72
31-4921353          Hallex,       Lalo 38    21.83 $829.54 $779.77
33-6605515          Poyntz,     Lenard 20    59.19 $1,183.80 $1,112.77
31-8208477       Brounsell,     Alayne 36    42.97 $1,546.92 $1,454.10
70-7278620          O'Shee,        Cal 18    21.19 $381.42 $358.53
75-0421077         Dagnall,   Marcille 23    30.39 $698.97 $657.03
37-3230160           Ronca,     Welbie 33    20.76 $685.08 $643.98
37-2653213        Salsberg,     Barrie 24    18.76 $450.24 $423.23
59-8592816         Catenot,    Ruperto 32    31.55 $1,009.60 $949.02
41-2834199         Pinshon,   Hamilton 26    34.40 $894.40 $840.74
26-5785538         Benford,     Ronald 25    27.06 $676.50 $635.91
79-4506556            Rief,   Margaret 17    17.83 $303.11 $284.92
78-5179170         McFeate,      Bruno 31    29.57 $916.67 $861.67
44-7474739            Klyn,     Alonso 22    21.62 $475.64 $447.10
07-6383042        Mityukov,   Humberto 26    19.47 $506.22 $475.85
21-3984932             Luc,     Lanita 26    58.56 $1,522.56 $1,431.21
50-7105360          Hawtry,       Sada 15    12.08 $181.20 $170.33
08-2116692         Gummory,      Kleon 32    51.20 $1,638.40 $1,540.10
99-5297002           Menel, Stephannie 25    36.60 $915.00 $860.10
07-0555404           Derle,      Lilas 39    53.53 $2,087.67 $1,962.41
28-7102780        Erickson,     Emilie 40    15.84 $633.60 $595.58
09-5261431          Zelner,   Jacinthe 32    14.61 $467.52 $439.47
66-6261311          Dugget,     Hervey 32    48.51 $1,552.32 $1,459.18
37-9046026          Jeaves,    Sabrina 27    55.03 $1,485.81 $1,396.66
00-6054516        Monketon,    Mahalia 21    48.05 $1,009.05 $948.51
65-2984010          Ridges,      Eddie 20    33.52 $670.40 $630.18
31-7444019          Palser,    Roseann 32    26.38 $844.16 $793.51
80-3411159        Stiffell,      Tasia 40    49.68 $1,987.20 $1,867.97
89-1252022        Allinson,      Alyss 28    59.41 $1,663.48 $1,563.67
15-5189358         Gresley,      James 19    33.61 $638.59 $600.27
36-4626346      Henriksson,      Xylia 32    52.92 $1,693.44 $1,591.83
88-9937440           Pyper,     Carlin 19    21.31 $404.89 $380.60
48-1605037          Cleyne,   Christie 25    20.40 $510.00 $479.40
53-9229991       De Bruyne,       Gabi 36    58.05 $2,089.80 $1,964.41
86-2475637           Titta,    Sanford 30    36.17 $1,085.10 $1,019.99
78-5926178           Gooch,     Audrey 18    19.99 $359.82 $338.23
36-4952095       Partleton,  Esmeralda 19    18.86 $358.34 $336.84
28-9274266         Batecok,    Annalee 28    21.24 $594.72 $559.04
84-0367589          Durdle,  Jacquelin 21    19.31 $405.51 $381.18
29-1517878     Stollberger,      Berna 15    10.84 $162.60 $152.84
35-7416347      Shillabear,    Emelita 17    53.09 $902.53 $848.38
14-9983081        Galliver,    Adaline 40    50.00 $2,000.00 $1,880.00
69-4671042         Schutte,  Benedicta 27    21.16 $571.32 $537.04
67-8214599   Drillingcourt,     Karoly 18    47.36 $852.48 $801.33
79-7261872          Aldred,       Nata 33    46.89 $1,547.37 $1,454.53
78-5564051          Artois,     Elisha 20    39.53 $790.60 $743.16
13-0163516         Southan,     Cesaro 25    27.23 $680.75 $639.91
50-9420409           Defew,    Darnall 26    45.74 $1,189.24 $1,117.89
08-0913991        O'Lyhane,  Celestine 36    48.39 $1,742.04 $1,637.52
09-3573764         Becaris,    Reinald 30    27.20 $816.00 $767.04
55-6052093         Leipelt,     Donalt 26    33.63 $874.38 $821.92
96-0591821           Veale,        Art 33    20.28 $669.24 $629.09
07-3106978         Lampert,    Zsa zsa 25    19.09 $477.25 $448.61
13-5843478        Castella,     Monroe 17    41.12 $699.04 $657.10
53-2004028          Mackin,   Mallissa 34    54.75 $1,861.50 $1,749.81
02-8691211      Josofovitz,      Ailis 30    14.27 $428.10 $402.41
37-7804835      Letherbury,        Isa 34    34.56 $1,175.04 $1,104.54
26-3114145            Sail,    Rosanna 25    52.00 $1,300.00 $1,222.00
35-7768621         Winsper,  Nikoletta 35    46.09 $1,613.15 $1,516.36
65-7454399          Salack,      Talya 32    14.11 $451.52 $424.43
